date,text,grid,template,src
,"<p> “I believe, probably, a lot of those officers were stunned at what they were seeing,” says Richard Wooten, a retired Chicago police officer. “And probably what was going through their minds was, ‘Aw man, how do I get away from this?’ A lot of officers, when we see things happening that we know are not right, we immediately try to separate ourselves from that. But unfortunately the situation itself didn’t allow them to actually disassociate themselves because they were already listed as being on the scene.” </p>",,reflection,
,"WBEZ: How Chicago’s Political Leaders Are Handling Questions About Race, Police ...",,link,https://www.wbez.org/shows/wbez-news/how-chicagos-political-leaders-are-handling-questions-about-race-police-use-of-force/ff5cbf7b-a087-4486-922d-e09ca8008e7e
"Dec. 6, 2015",,,date,
,"<li>  Ando, the chief administrator for the Independent Police Review Authority, resigned as the agency’s <a href=""http://www.chicagoreader.com/chicago/chicago-police-department-shooting-kevin-fry-cops-cedrick-chatman/Content?oid=17767928""> record </a> of almost always siding with police in misconduct investigations came under greater scrutiny. </li><li>  Emanuel announced Sharon Fairley, a former assistant U.S. attorney who worked in the city’s inspector general office, would head IPRA. </li><li>  Constantine “Dean” Andrews, the department’s chief of detectives, resigned. </li>",,list,
"Dec. 7, 2015",,,date,
,"<li>  U.S. Attorney General Loretta Lynch announced <a href=""https://www.justice.gov/opa/video/justice-department-opens-pattern-or-practice-investigation-chicago-police-department""> a federal probe </a> into the Chicago Police Department. </li><li>  “If we discover unconstitutional patterns or practices, the Department of Justice will announce them publicly, seek a court-enforceable agreement with the Chicago Police Department and work with the city to implement appropriate reforms,” she said. </li>",,list,
,WBEZ story: How A ‘Fed Up’ Source Sparked A Federal Investigation In Chicago,,link,https://www.wbez.org/shows/wbez-news/how-a-fed-up-source-sparked-a-federal-investigation-in-chicago/a7786422-67ff-40cb-90aa-5fef746c7d1c
,Morning Shift: AG Loretta Lynch Announces DOJ Probe Into CPD Practices,,link,https://www.wbez.org/shows/morning-shift/ag-loretta-lynch-announces-doj-probe-into-cpd-practices/80fcf5ea-0e79-49c3-b288-5961f068800f
,,col-xs-12 col-md-10 col-md-offset-1,photo,images/image01.jpg
,"U.S. Attorney General Loretta Lynch speaks during a news conference at the Justice Department in Washington on Dec. 7, 2015. Lynch announced a federal civil rights investigation of the Chicago Police Department. (AP Photo/Susan Walsh)",,caption,
"Dec. 8, 2015",,,date,
,"<li>  Fairley, the new chief of IPRA, asked the city’s inspector general, Joseph Ferguson, to take over the city’s investigation of the McDonald shooting. </li><li>  “Public confidence in the investigation will be enhanced if it is conducted from this point forward by an agency that has had no involvement with the matter and can bring a fresh look at the facts,” Fairley said in a statement. </li>",,list,
,WBEZ: Officers Keep A Close Eye On Commander’s Trial,,link,https://www.wbez.org/shows/wbez-news/officers-keep-a-close-eye-on-commanders-trial/6ea6e923-cf62-4f78-97e1-9db62743821a
"Dec. 9, 2015",,,date,
,"<li>  Emanuel called for sweeping reforms within the police department during an emotional speech before the City Council, saying abusive officers need to be disciplined and that trust between the black community and law enforcement must be improved. Emanuel also said a “code of silence” exists within the police department. </li>",,list,
,Morning Shift: CPD Sergeant On What It’s Like To Be A Cop These Days,,link,https://www.wbez.org/shows/morning-shift/cpd-sergeant-on-what-its-like-to-be-a-cop-these-days/fbcd9a39-6d13-43d8-bcc1-4d8d4c29686c
,Morning Shift: Aldermen Respond To Mayor’s Address Calling For More Accountability,,link,https://www.wbez.org/shows/morning-shift/aldermen-respond-to-mayors-address-calling-for-more-accountability/d9ba9969-565b-4375-aacf-e4a15893a1d3
,"NPR: Amid Violence, Chicago Parents Try To Inoculate Their Sons Against Fear",,link,http://www.npr.org/2015/12/10/459198009/amid-violence-chicago-parents-try-to-inoculate-their-sons-against-fear
,"Tribune: The Complicated, Short Life Of Laquan McDonald",,link,http://www.chicagotribune.com/news/local/breaking/ct-laquan-mcdonald-trouble-met-20151211-story.html
"Dec. 11, 2015",,,date,
,"<li>  McDonald’s great-uncle, Rev. Marvin Hunter, said State’s Attorney Alvarez should resign and urged the media to stop showing the video. </li><li>  ""How would you feel if every day, 24 hours a day, you saw your son die?"" Hunter told reporters at a press conference. </li><li>  “Alvarez has forfeited the moral high ground, and she’s lost the trust of the people of the county of Cook and the city of Chicago,” he said. </li>",,list,
"Dec. 15, 2015",,,date,
,<li>  A Cook County grand jury indicted Van Dyke on six counts of murder and one count of official misconduct. </li>,,list,
